xlsx_row_no,matched,source_kind,source_district,source_housing_name,source_housing_type,source_gender,source_supply,source_applicants,source_competition_ratio,actual_winning_rank,actual_winning_score,pred_win_rate_at_winning_cut,pred_reserve_rate_at_winning_cut,winning_cut_check_50,winning_cut_check_70,actual_reserve_rank,actual_reserve_score,pred_win_rate_at_reserve_cut,pred_reserve_rate_at_reserve_cut,reserve_cut_check_50,reserve_cut_check_70,source_address
115,Y,재공급,양천구,에코리움빌,28B,,1,47,47.0,1순위,0,0,0.088023,미달,미달,,,,,,,"서울특별시 양천구 남부순환로56가길 14 (신월동 197-8, 에코리움빌)"
116,Y,재공급,양천구,에코리움빌,34A,,1,98,98.0,1순위,5,0.559337,0.590273,통과,미달,1순위,5,0.558577,0.587488,통과,미달,"서울특별시 양천구 남부순환로60길 12-10 (신월동 197-11외, 에코리움빌)"
117,Y,재공급,양천구,다온빌리지,39A,,3,667,222.3,1순위,8,0.847428,0.885046,통과,통과,1순위,6,0.661207,0.724174,통과,통과,"서울특별시 양천구 목동중앙본로20길 35 (목동 231-36, 다온빌리지)"
118,Y,재공급,양천구,T&K신정,29B,,2,228,114.0,1순위,8,0.847333,0.88475,통과,통과,1순위,5,0.558812,0.591102,통과,미달,"서울특별시 양천구 오목로38길 23-5 (신정동 960-21외, T&K신정)"
119,Y,재공급,영등포구,케이앰캐슬타운,20B,,2,310,155.0,1순위,7,0.707541,0.748268,통과,통과,1순위,5,0.557172,0.587492,통과,미달,"서울특별시 영등포구 선유서로26길 28 (양평동1가 208-1, 케이앰캐슬타운)"
120,Y,재공급,영등포구,경동파크빌,29B,,1,53,53.0,1순위,2,0.199041,0.247116,미달,미달,2순위,5,0.173573,0.446299,미달,미달,"서울특별시 영등포구 대림로35나길 14 (대림동 737-2, 경동파크빌)"
121,Y,재공급,영등포구,명지파크빌,28B,,1,28,28.0,2순위,6,0.344277,0.746802,미달,미달,2순위,5,0.238684,0.584465,통과,미달,"서울특별시 영등포구 대림로16길 9 (대림동 858-34외, 명지파크빌)"
122,Y,재공급,영등포구,명지파크빌,45A,,1,92,92.0,1순위,9,0.897566,0.912601,통과,통과,1순위,2,0.193374,0.25004,미달,미달,"서울특별시 영등포구 대림로16길 9 (대림동 858-34외, 명지파크빌)"
123,Y,재공급,영등포구,케이디하우스,28B,,2,617,308.5,1순위,6,0.66168,0.722607,통과,미달,1순위,5,0.558401,0.591244,통과,미달,"서울특별시 영등포구 영등포로35나길 5 (영등포동6가 30-5외, 케이디하우스)"
124,Y,재공급,영등포구,남양파크빌,32A,,2,155,77.5,1순위,7,0.710549,0.750099,통과,통과,1순위,3,0.361245,0.402341,미달,미달,"서울특별시 영등포구 도림로48길 9 (대림동 700-28, 남양파크빌)"
125,Y,재공급,영등포구,삼정주택,27B,,1,245,245.0,1순위,10,0.926385,0.935385,통과,통과,1순위,5,0.55773,0.58957,통과,미달,"서울특별시 영등포구 영신로47길 13-1 (당산동1가 230, 삼정주택)"
126,Y,재공급,영등포구,Oaktreevil DR2,27A,,7,224,32.0,2순위,8,0.557493,0.929734,통과,미달,2순위,6,0.407907,0.744485,통과,통과,"서울특별시 영등포구 대림로35길 8-1 (대림동 775-11, Oaktreevil DR2)"
127,Y,재공급,영등포구,민하우스2,29B,,3,71,23.7,2순위,6,0.462947,0.743884,미달,미달,2순위,5,0.326457,0.584472,통과,미달,"서울특별시 영등포구 가마산로46가길 5 (대림동 680-3, 민하우스2)"
128,Y,신규공급,영등포구,명칭없음,28B,,39,1279,32.8,2순위,7,0.446254,0.766199,미달,미달,2순위,7,0.449369,0.763943,통과,통과,"서울특별시 영등포구 대림로 203 (대림동 740-2, 명칭없음)"
129,Y,재공급,은평구,구산유앤아이하우스3,20B,,2,63,31.5,1순위,2,0.198732,0.244119,미달,미달,2순위,8,0.506382,0.929666,통과,통과,"서울특별시 은평구 연서로11길 29-10 (구산동 24-13, 구산유앤아이하우스3)"
130,Y,재공급,은평구,응암에코타운,27B,,6,574,95.7,1순위,5,0.553383,0.589315,통과,미달,2순위,8,0.258324,0.593162,통과,미달,"서울특별시 은평구 은평로16길 12 (응암동 72-6, 응암에코타운)"
